Porcentaje de cobertura de vacunación pentavalente,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2007,95,95,98,103,95,96,93,94,92,97,105,84,92,94,83,95,95,99,82,100,90,89,95
2008,92,91,93,90,97,85,91,80,90,108,73,81,91,96,92,85,101,93,92,98,102,82,93
2009,92,91,93,90,97,85,91,80,90,108,73,81,91,96,92,85,101,93,92,98,102,82,93
2010,93.9,96.72486951965791,151.41803613411952,90.39210011173824,98.75442987965539,89.09945434452688,89.42869061201313,80.31043745788857,80.72302158162536,101.53979229216228,70.79957096551733,130.22284083627335,90.89635350295985,97.87985911284335,98.50785534797812,83.33821882028958,94.99305201869953,101.80733532304417,96.373039566949,100.37102756221306,100.76222340646162,82.7536562210378,98.10603145048935
2011,85,90.61933327016266,140.98436266535649,96.16988496623084,93.0726191913805,94.88160093465441,86.52165034189343,80.93450064023459,65.6608004359562,102.23165257142985,96.42750008376554,77.70650240580434,105.35465941615323,69.41553972196058,86.61819362899473,98.53395723258579,52.896635923283654,90.60254220739515,87.94351835602203,90.41611504380042,93.8774210504785,74.69830211285189,101.09123533536291
2012,95.64504812353046,97.2,99.16911045943304,93.58655953250548,92.21067764490623,116.5886075949367,113.50033252050542,88.69701726844585,84.48481746844081,89.93856380300132,95.3199825859817,89.4350139346339,93.44025284110012,95.55743197232587,102.7,93.8659793814433,95.1111377389012,102.1,91.95028114826872,93.10114980836526,96.75403413860647,97.94945688317446,97.96206440229378
2013,93.22623828647924,103.88504606222277,79.737753587333,83.12821980538065,91.51121754474414,94.57882581743041,88.428288719925,73.4272110221862,93.57933579335793,92.55860396557463,105.18131052519968,100.3777263311807,82.56935075191682,86.22033942355174,83.4369719499831,88.11470255313797,95.36671811581775,113.71067543802513,98.66627148784826,128.42225485397293,83.95717270194986,89.50883239982767,82.26312664348121
