Porcentaje de nacimientos con atención médica,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,72.0637004183665,95.06360680051561,92.74541632117989,93.1059314891158,75.77457085544896,92.86264612600041,94.11985813882637,63.08421141191231,57.858340489360806,77.50778373626667,88.27228362078245,88.24314943948572,63.55317400236176,45.07949215021913,47.933493125361906,70.14307839580542,54.348115662817754,74.71121534156397,74.79049642766326,81.27629681399347,67.17782871553216,83.58723993456452,89.57516176026971
2021,68.79260840970133,94.23045458505132,91.94177179978753,91.15852269639709,72.36251318180013,91.96964732765751,92.28081514423373,58.2389368123369,52.4014940565799,74.26919067576424,84.78514679297633,85.7436015610624,60.03241634049801,41.41938301141367,43.67649644951276,68.3696095246588,50.718156961942775,70.0670269503382,72.80564279274064,81.17300063851532,63.865115771482095,81.98469771726981,86.71326427315397
2020,68.8944116854038,93.68593996545947,91.41598335523308,90.72710160440894,71.58458212504281,90.89924136101214,92.44924876951764,57.59819155911258,52.88720090254966,73.24353037157857,84.81921286335816,84.97180982475363,59.11552008272562,41.36280352244915,43.78870883756502,67.1929373842716,49.63577393375801,69.57754208693275,72.27054710378584,82.91042001146222,62.76451661045045,82.52190009403755,84.80333101652376
2019,73.8302599119543,95.40738367608975,93.98130868684942,93.64936456036116,75.3522777035289,93.30289668947675,95.09818626373578,62.71212783817892,60.53142452328575,80.6302427236034,89.08539686648415,87.95794397148765,65.25834567188065,45.955174996821505,48.59372623610802,71.47530561789463,61.586898652868626,74.30090340095053,77.32990228547395,84.9087866690314,65.60763483827948,86.16832120180497,90.36457125844069
2018,71.60852991287963,94.83002304577323,91.71238079999368,92.38949987475816,72.30062344165904,91.39555871511136,93.29609659132753,59.45015873895895,56.06235328911776,77.70512085621803,86.74814001670983,84.60637619816158,60.893797285971075,43.9072334966242,45.46968216540911,72.98673135522253,60.106697336938666,71.9094601725412,70.38728398768241,84.37945400414904,61.479329936254565,82.37935930460786,85.91337659090553
2017,69.56380481261004,94.84974280570337,91.69356442968794,92.21773614987875,70.17656646209508,91.86004455872751,90.40877761225539,57.03704894435323,52.52706226711189,75.84159434401043,86.39629534029997,84.63433249166258,58.805217909668414,39.41639189487508,41.0241931430547,65.75853350190374,52.63440226062811,69.74350431173885,72.10241960699987,80.87928209175642,59.79021588022544,83.58420599078617,84.90351471056616
2016,67.7620894405992,94.63614593300484,89.40141940748546,91.21871696673297,66.98187037982699,90.80048642151701,88.00472112971221,53.65282873988125,48.81183922275723,72.82490704412433,83.45353357510821,84.03419310617498,56.43964197907546,38.496231529481925,40.048440520198234,65.12251305495852,48.84922922130716,66.87427948738384,71.45675499667674,81.65503612734534,59.048183436007584,82.4339940539749,83.69219409635026
2015,67.3733154499585,93.95002954787725,87.90858955380584,89.91812988406018,66.80187374954144,90.9621982364893,87.15162571408844,50.16338836391194,46.89173528385695,72.55453454264857,81.19424135105639,82.84244944852915,57.385961963896804,36.92572230643149,40.99196436349903,66.82601265025848,50.389271439059044,65.68894558861209,69.62919013129012,80.77882761567729,56.56775179272992,80.17074841162159,83.05170937755709
2014,66.1010629345279,93.51548322118539,86.700170325058,88.80968594295572,64.04823542456892,90.10644710984,85.2285246711817,47.39815753733334,45.37321422068887,69.52612993967227,78.09897332421389,81.99322037146536,54.678245789212,35.716775446340684,38.65442467108845,63.68827830250555,51.06648980415404,61.37677878143326,70.91411485829617,80.32189252775527,57.182841505540836,79.28365885512844,80.64426231753247
2013,62.76675392805324,92.4176306671305,85.95177895378532,88.56641260838744,60.913001638769195,88.80432703444117,82.54381490109644,43.41695579737152,41.78431504621346,66.6251835751236,71.73073240967642,79.66717831734933,47.11930824948601,32.843158031587016,35.40991489310288,57.50882829581069,47.742105263387344,55.49744293860517,69.30396968178944,77.200086631461,56.33727762639644,74.68994329013864,76.61998959026917
2012,58.680486756747726,91.90214424693683,81.40587830013018,85.68652676205664,56.03195127262553,85.54041881029794,79.0957425837017,38.248286307853114,35.64216652017039,63.19109391801434,66.0508138044391,73.75146702401322,40.50015442574642,29.92564218726894,31.21728552613344,55.28321652460642,44.12621286061756,49.44298741207114,66.13184963135227,75.5849111544961,46.47188835490967,68.15832047827818,72.5940024633404
2011,55.176723076758385,91.0477257123763,76.58571790039261,84.49660358099756,47.82550775189268,82.75652490469098,73.61739898869898,33.68795946986865,31.728646838682824,59.792396280296856,60.70744345663025,71.4314380110234,35.64864382665669,28.302310494466305,28.485875829600744,49.07040462129406,40.4694606865996,44.97509520025928,58.664167583590256,71.55217404960574,42.11209809679824,59.120025023444796,69.73724243630565
2010,51.676954789365205,91.03206554230493,70.80568345564767,82.73859416465135,39.671982402417974,79.73788548096115,70.45927337643593,29.576137623489746,28.219316840541097,56.609172221193774,57.31061164255655,65.20629802251791,32.654683546092826,25.045358630426822,23.327952051054332,46.44733002933024,37.19891409735716,41.02639304805879,57.17760398576301,71.95472163503801,38.932717962142235,54.012670125675946,66.26553674947156
2009,49.66612442695121,90.6444165280277,66.04614577871001,81.0226595110316,36.528103853058965,77.59758108851017,67.08226378193375,26.316896225423193,23.602103418054337,54.0556478850587,53.2378044005951,63.91667808688503,30.405944182674883,23.741687511439206,20.835040411188498,42.684954280964256,33.10250569476082,37.51467136150235,56.38677981241626,67.56132243156772,36.89225027011099,47.110036275695286,61.643075215098534
2008,41.39476267615728,88.01775846597081,47.0280178057083,77.41840200856595,29.891339709805454,69.69182554191696,62.48549547458807,15.269518511413773,14.81172246806379,41.331017261969386,38.27891059461001,52.04334769552161,19.546504304010078,18.3015494636472,14.153963945152084,26.93333333333333,21.197370261575045,31.722763822671318,45.043700703474734,56.46643109540636,28.6761160929515,34.64798282291785,51.50510908588788
2007,35.22647817156842,85.89832364450312,42.02437731849496,72.98975025263462,25.165562913907287,60.053759916082086,54.022183304144775,12.172318973418882,9.793244278056665,36.1275220153829,21.524979210644148,47.87460148777895,13.605963494496306,14.56994453737125,9.567700426516302,21.65343553243909,12.211939200784506,26.16253802694481,38.243457573354476,35.76313894888409,25.137580449584927,27.715986967756436,33.23190410327339
2006,34.020450652689064,84.62980611495617,40.21571648690293,72.95823166355677,24.415549417233713,55.302933265018574,47.97862453531599,11.742212273829509,9.464849592820343,34.29355281207133,23.875023339764734,41.141179474087316,9.936259212535688,14.00738185998669,8.457262489171239,21.86962845431707,11.317834456518234,23.867403314917127,35.9902399349329,33.19201554495672,26.00798782807151,25.84256282005478,31.02367688022284
