Porcentaje de cobertura de vacunación SRP,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2007,96,94,100,105,95,99,94,91,93,97,107,89,93,94,85,95,96,95,86,94,92,89,92
2008,92,88,91,89,100,86,93,85,90,106,72,85,93,97,91,87,100,93,95,99,102,80,98
2009,92,88,91,89,100,86,93,85,90,106,72,85,93,97,91,87,100,93,95,99,102,80,98
2010,92.8,93.50640247654007,152.61214373949744,88.74808297505378,97.72508586795111,91.09526178240542,90.37953418797626,78.40358483896559,80.35490356789808,107.35187709646064,67.26193910504279,126.86480503473005,90.072979363746,95.29077494356359,87.07091363517651,81.22296764380674,95.46939703677643,94.02242123034262,100.52059416875434,102.7984483637739,98.83760893209869,80.7231359096243,97.30258925083632
2011,74.2,87.8,127.5688419839133,72.488107964845,68.79486968680403,72.05642396249698,70.28426675029921,53.3439685851455,47.42253211733522,72.6578800872923,74.93331104499774,64.53888100606062,88.09106780956726,89.47562626194822,67.92223407448961,76.8773515291218,63.73376249825522,57.37795705716683,66.52974925303738,84.19266570852353,79.14917967700642,67.59639017592404,75.42447569179897
2012,92.92902783505707,91.5,98.33822091886609,91.17604090577063,90.22413905770111,112.70886075949366,100.46552870760364,87.18995290423862,85.13306038894575,87.59693826165777,90.32796401102888,86.10336964783379,94.01519736399703,93.11687957944052,98.3,93.33762886597938,91.8908393745132,100.5,92.57176679490973,90.78486918846859,93.76923794422162,93.38284194191975,95.34186149095721
2013,93.39687317561742,107.88364998143693,67.7663734115347,63.63769174579985,97.07900411683984,97.94303797468355,93.91487475060963,74.84039769754055,88.3913340156943,92.92476583744586,104.86141343781745,96.89637699518622,73.74420012104095,88.34745185629068,83.29106790645253,90.47680412371135,94.60787250614104,122.18591392616283,102.0222945644668,123.46275620729878,89.29204365264435,86.42207936156063,75.93295103661227
