Porcentaje de niños con bajo peso al nacer,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,13.907577724514192,15.288005674739422,14.227327465616678,18.888740016401144,16.649787001668162,12.749849004537616,13.173294931342172,15.600055117312204,20.574362440424853,18.826500345558323,9.662946170994454,9.984597087078043,13.640697105735198,11.651775328794749,12.149083267458334,12.060073352889864,10.992104155828821,10.4865289688311,10.577207864442643,17.40587748987565,18.355303507650778,18.329881880726155,13.284818893669936
2021,13.296286531324156,15.018741267121714,12.454290981303426,17.136782450920357,16.26296606161394,11.905513418674406,14.038760805922964,14.645152118618531,17.903622130061414,17.88820872805227,8.563029204764264,9.338511409526937,12.806461969251654,11.326991431930955,11.560413794667683,12.55231235190416,10.957182897396082,9.721331544729043,10.13476760961894,17.339114731408976,17.821520142246623,17.379635008834423,12.420888568732515
2020,12.32019975850791,13.63884098867423,11.487288117823622,14.93871386696089,15.356437171035367,10.380172488321703,12.42044160008063,13.611822000429594,16.33512033122383,14.81022375653464,8.079518851890354,8.804522474278782,12.399613375450777,10.870673985297145,11.430159154140016,13.60836977816881,10.298847751343432,8.884919221917992,9.349622811043222,15.398021608106657,15.380258492664426,15.913764732290902,11.693344618950855
2019,13.449728094206154,14.286888682602717,14.181219373860241,17.67797534640066,16.646331617049654,10.565151313485782,13.346986319165271,13.72070100588488,19.14060499084899,16.185647044463305,9.485025765629905,8.13954745812577,14.01625669755979,11.81325384701834,12.178619389390914,13.893009602452722,12.159390354484078,9.608441260816015,10.454224687547432,14.358467333666116,18.077006632769624,18.39594652933049,13.101787036711055
2018,13.221469330459762,13.991219106768096,12.933981479553891,17.38773263569936,16.480443945765593,10.587838684003627,13.114070198657659,13.877199079369959,18.478616952536132,18.48921835758224,8.940974867312203,8.135210730659628,14.198666136642466,10.965771150686573,12.52681647887137,14.595615326309783,11.462405709640061,8.939086279402153,9.240101583995976,14.619028514954516,16.23706642314046,17.442650737066046,12.490806188344992
2017,13.09738408652637,13.77439821561897,13.408762622993633,16.0008911979713,15.55260548422808,9.699232962306061,12.771968989689132,13.772409682355939,18.39330026771702,19.335590972814675,9.602357478302528,8.35504870361793,13.201711061020877,10.907740116750205,12.57570362276522,13.890543215901388,11.90329377570013,8.502314011619438,10.21573191838342,14.358797075267926,15.626770041777105,16.71898123312338,12.82122069726444
2016,12.70704079593834,13.413532479960027,12.78695509262243,15.387723968030084,15.453221434657275,9.715475541108386,11.985208373642765,13.45069331105557,17.71882391941358,18.863924438905467,9.013731932580065,7.811008212651814,12.486838740681879,10.46747518467092,12.8510193199942,13.682988944333582,12.055434821604468,8.622654422049173,9.746866993014976,13.892205691512006,12.011217680188055,16.847432277369712,11.757666019676554
2015,12.646100785591111,13.448291929372107,11.413250448902275,16.114787043955957,14.893302198775796,10.030479401585382,11.818883936628403,11.973890243193878,16.749659299342117,19.95066401834039,9.054104140007517,7.967709617264212,13.707591687780871,9.64412445721512,13.551397080571393,14.310165078101026,11.317153165534362,8.0080270013631,9.258894501468932,12.60930880297979,12.07350887578585,17.64589518440204,11.612245383950453
2014,12.375872292494725,12.865371458669006,11.067441368451552,16.124786574173307,14.224938152037664,9.643810155465651,11.148376591920409,12.689161678894735,16.788251290141435,19.311445610942044,8.203764399726948,8.785716688183237,13.05842934393774,9.553402671805475,13.287046732411412,14.608920737834202,11.722134091458507,7.56385926980855,9.093442094467829,13.002394891056035,13.566563508558705,16.311657492869948,10.674925465444401
2013,11.719875458896789,12.346768284812365,10.875759615461046,13.777823718588273,13.900331424795354,9.170160892931042,11.152127624979016,11.163054160428583,15.270836049070228,16.96518938793235,7.6221167472021305,9.07083916743973,11.409914949047083,9.188475544891409,12.868269345828079,14.564565082280387,11.796930986384407,7.717591736437179,8.381381117604553,13.584457616667942,12.798961271831915,14.713250446122785,10.552538122818007
2012,11.352682488748448,12.115682077550852,10.095239873483717,13.524826450507252,12.637028761653355,9.403112011123255,11.031441828764219,10.97286645094681,14.294480325452158,18.62715107650252,7.331067050982224,8.53034105809807,11.57138240191982,8.517811538696892,12.069733301157177,13.974783687567397,11.045760305043045,7.387076446516877,7.8254917405563855,13.168511948930231,11.430706874351332,13.314845387282304,10.324437493869326
2011,10.893463065840315,11.658741083664143,9.602386150769036,13.467274426974999,12.890588604907292,8.73894151803325,9.630286223738876,9.8778754146613,13.26101679174717,17.486042046088627,7.385123695152017,9.030559307754961,10.911905283021914,7.8459516115614925,12.399160453937679,13.786191212839768,10.37499203397178,7.048727412814032,7.09155842532692,13.062150318922408,10.83660075902406,13.143290519395059,10.34662547902244
2010,10.12528115035396,11.858775359178606,9.735860825151635,12.832446724761581,10.772978234963825,8.468482094311614,9.94027987239088,8.8428421491104,13.488561027211816,16.493467846446688,6.027289609772741,6.109532480886866,9.440873418950876,6.848386728430593,10.733406211169871,13.036839085800848,9.705595675965853,6.8526102029258835,7.190944418078332,13.090202211116427,10.110345146103526,12.148689854529076,9.030492781479726
2009,10.22956078583048,11.53362985094897,9.25537493445202,13.595706618962433,10.689131335450904,10.630841121495326,9.729861875076397,9.210387971822101,12.822085889570554,18.56537822334209,6.499099522355337,6.550637248184185,10.547299746284885,5.8843267646879385,9.601847368617081,13.549459684123025,9.807137433561124,7.299002347417841,6.9897275569450645,11.908993956629931,10.097239956782241,11.438935912938332,8.576186511240632
2008,9.486463170249534,11.63273981013555,10.840534171249018,12.40584847142224,9.317457219077363,10.544528597545051,9.108841958691112,6.915403798196816,10.05260081823495,15.416350016284877,6.2027662911735355,6.658832745789267,9.237875288683602,5.935637663885578,7.70167745527946,13.146666666666668,8.672541614211777,8.033871771152066,7.983372415263271,11.908127208480565,9.218011763571496,11.639733303198103,8.478320905827118
2007,8.84991041384434,11.956714278812864,7.763645998940117,12.41518694961744,8.76158940397351,9.506326624270635,9.106830122591944,6.553620531622364,8.721177571683826,14.262624010701147,6.697370946075609,5.99096705632306,7.771352932980354,5.602018957067817,6.690522663196703,10.594032302217355,7.226035793086541,8.11965811965812,7.821173671689135,11.051115910727141,9.91511985822218,9.920233681608808,7.5795297372060855
