"Tasa de mortalidad por VIH/SIDA (B20-B24) por 100,000 habitantes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,0.9851430064697971,1.3279138182102757,2.713996824401517,0.26397249239909726,0.6994784108115573,3.004119860517485,1.1756020742900488,0.6622828277137452,0.212023332336989,1.380544817480168,1.8859889121699176,0.8349169766207786,0.7924906367926431,0.14887713339952707,0.1929682646479628,0.31317982686759843,0.6920532452186618,1.1776847337967626,1.64363431962286,1.1662715097807554,0.2342296049262951,0.5213228038728125,0.7612272251581591
2021,1.0695658486104938,1.540135235878476,1.0637470472300201,1.0439014911234359,0.554097215084688,3.0921132293846814,0.6947681000757638,0.4360232393238637,0,1.3635636893495673,1.6881681167477292,1.648093196698302,1.2170934764559254,0.14776656946815891,0.19111510273627325,0.30998009368818025,0.2288847387235681,1.1627865496149994,3.2420695808114126,1.5290225716943957,0.46203202593923537,0.515782195325449,1.1235704638006778
2020,1.3524468878387919,2.1223821723000427,0.5367840701322514,1.5947695289904151,0.4239642441944791,3.403755315927404,1.4099162460279113,1.1089653819918808,0.4258850704307436,1.156137130844907,1.8833667328047792,1.6757345793220233,0.7072887188224884,0,0.8775330749143829,0.31607437840091873,0.8580021495211746,1.6893331209318003,3.7643601361691235,1.5484407269793385,1.4081697313916237,1.051521316135733,0.5694253549126673
2019,1.7586096287731654,2.619877999233976,1.103582061077069,2.206444881930074,0.44073616947259636,4.878771168979749,1.4574845274540669,0.91953501759398,0.6620359819276873,1.438124968725707,3.3609012042130826,1.4466555286081284,1.8319543046352547,0.23619220376773803,0.7096088326441726,0.6567842233951668,0.7313590601628653,1.4000691643756717,4.3833028186738705,2.395975679862202,1.2144421729384953,1.9113608822153592,1.371990163018475
2018,1.7740312413018946,2.540065935112723,0.5580415021622858,1.4080296356639805,1.202340754294484,6.073590979251357,1.482452440497554,0.9377868864910271,0.4500433457696605,1.9556902711443593,2.8766979554687655,2.3594750558534527,1.7739904144890932,0.48442928191928347,0.4148653641725361,1.0072420704868001,0.9165475075894083,1.7836867259583815,2.9760007347643196,1.2157005801574694,0.49460407421407926,1.3954776284918267,1.1947913442146276
2017,1.9829160900773508,2.83913320166936,1.0826874542657885,1.3794294907945437,1.3277985915178727,6.743161428122279,0.964380208862382,1.6049179342859057,0.4400857833419336,0.8367668880317917,2.803368770463109,3.747741956100431,2.0085929541329643,0.39700081441170204,0.3051485738752262,0.6583787717880032,1.1470102194963547,1.9192810238732523,4.840712339197302,1.5759058519263054,1.6906952853754327,1.9148071513939657,1.5517491812942132
2016,2.242904681605465,2.8789246199095873,1.6922361160368689,1.7431519172117742,0.6223845821979637,7.501788308313603,2.5265439418230446,1.6855447680690399,0.6927757114630924,1.8830135753503319,3.299906673061979,2.118548988491326,1.9174396919306358,0.16770104672285321,0.7491970296173835,0,1.1245979032484956,1.8339306471281036,8.367408649753516,2.468165531449574,2.2795915382931993,2.0155209877619837,2.434305967711366
2015,2.4923848969440603,3.080150111896462,3.3807629101032055,0.8800426091832916,0.9435194351385833,7.9765790780549635,2.79236547390047,1.2111543620854346,0.9280502105780013,2.2732929401771274,2.389723623677789,3.9579069222858303,3.375613941960703,0.084863153342471,0.9705985573458866,0.6987566579758507,1.3999932765142484,3.1434666303455523,7.63301367334396,2.8803951545814543,1.526933353097763,2.033012134881762,1.8289109817122253
2014,3.070627837554117,3.4691385582896914,4.714753051642722,0.9305153807923016,0.8315999016744586,11.104725202336043,3.7368482817335535,1.0197694900026466,1.4624535737111917,2.7911304446492506,3.4728650888217265,8.013726155686388,3.246734505025416,0.44942070932770506,1.1364988621421754,0.7370461704853029,1.3895782850660525,2.7345971632918147,10.154311536029061,4.310949483321697,1.8721987723793478,2.146281603654122,2.5560497987024675
2013,2.991229515644829,3.541205754328195,3.461675197708771,0.9208298526817521,0.9879392160956989,10.062505124971974,2.3644431466667934,1.5057001793590052,0.7185006328793074,2.355587686934858,6.064473004434305,6.630657355792359,2.9951232006323143,0.44545380184366556,1.3440709468745353,1.8183869322277737,1.8362831630902972,5.22047038990443,6.824767719030683,1.6903978807819848,1.0524636463708115,1.5145120545062793,2.2978025654506085
2012,3.2945603493776394,4.2526549380038405,3.414252600008273,1.2245729188791852,1.6427019058404886,12.642393858075007,4.1667721906714945,1.4926313662719992,0.7107936304250265,3.503127835717909,2.4377826351171157,7.518508537868544,2.769956742034896,0.5336750061233819,1.2222876897691193,0.7229049080196279,1.8342835336352117,2.50839629298411,10.64683849630616,1.6695033940455497,2.086083543919255,1.5071256653882443,2.475663599848715
