"Tasa de mortalidad infantil por cada 1,000 nacidos vivos",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,18.084881848329857,4.438572509400876,26.975512823036304,9.450320560186316,20.86631467438469,8.14423630888418,3.055442517008236,10.91030159041297,12.337809194189,53.135761304418,12.353080789339058,20.829594346826113,36.66819575953929,23.179329925364414,14.595032259774323,24.310786136976844,29.645146472993027,6.601870852571565,24.76835780108529,22.001436908843836,5.52452265502992,4.809170174371903,6.107880961145556
2021,17.273699184989674,4.557078988988904,31.14156060944213,13.133777737847637,25.776788052471034,6.576402298268547,0,6.625932964495967,13.989051962420904,45.32155446188249,16.600706673213377,23.94582247325343,30.387498355288727,18.250366300577106,11.145411825938075,21.611190813921784,33.599917977602736,8.425786132683115,23.799703851392554,14.201385786850505,9.391033188788835,2.43567276616861,8.341161366776829
2020,14.873451109574109,8.359494143764927,23.068203082491948,2.8510902296094756,16.565056817370483,5.210487689511801,2.8081164163773167,11.989605514807113,9.493037040909535,27.027654082175875,16.47800665108954,19.549411903719417,18.9782394956327,12.006612550024196,9.247108835274663,19.014584715261876,42.15229747106242,7.765688494842879,24.715202622770068,12.966758364263896,4.013233786525502,4.599772388883965,3.915084047181129
2019,19.92612885199874,10.810176850818944,17.505995557442482,4.693181364322766,26.890222830836617,5.43289354364832,3.3716422359252536,9.989024250467784,32.87932125818952,40.1758520117546,15.10715545033771,23.03364011700515,17.438339920933608,12.323639886605003,14.687227229135527,33.856437434609816,46.113982225769625,16.941804114194152,30.242478618244917,22.792795528369133,18.173228257160602,25.44553592307015,7.314025339671704
2018,19.735795002387388,14.37362120082637,11.673758386193064,13.206676154077,20.067802204092978,9.969134870303819,9.47537816758644,19.66887285863225,39.67103918511272,31.61478469535407,14.431724706772343,17.903416617322694,17.106384204874765,17.145788720492913,23.314954946937736,25.961068878219855,37.13994422241582,13.073699098961512,14.388714954310284,7.842524914117705,14.733752093747334,24.043105217631847,10.616984341783617
2017,19.980925630921444,17.76707518386115,19.899313589064644,13.650130868831159,26.593199220674293,9.47951423272286,4.3151228924113,21.30974980348791,27.28847960963681,30.115500107290877,10.665350610456095,16.828713407151305,18.128299113799862,17.9879593053829,19.897368872368908,23.683000060675973,37.12077925512108,14.476992523973081,11.355354551896525,13.221800509084208,17.85420642973495,28.14160395461101,11.080888707717888
2016,21.430291355646528,25.421852477526276,26.275433528866483,11.313465380546956,37.2818008572719,11.462711138105474,8.184928910742693,12.008659992427374,27.06178085517941,33.87444253606953,16.370537257105305,23.632988069259603,14.02399402330327,15.584854397407641,15.976375426158512,21.060022388008836,36.664394788948606,13.21547407026647,15.547933851551674,23.941986964034967,15.157661827747544,29.740018416298202,10.696417328163914
2015,20.95420578654915,28.39563423098849,17.186604703642466,11.517855588882917,21.238427941675347,16.477690912424457,20.808607273526324,20.511744374841314,26.999341944590284,23.726898899950456,16.858330580918153,15.083352413996572,16.60134383425782,13.441672876745418,21.387041834293317,20.124857353858534,32.51336462853568,11.640514941519422,16.267325770701962,16.32625244484011,16.472496626709123,20.868952695564843,13.676862553324293
2014,19.01112132471938,38.16354180128677,11.608647575279909,11.410308872988695,21.232316330228244,15.159077488737337,18.368962737193023,14.710689252677042,14.579319520363832,14.01773332318623,11.311011382496353,14.781110570855741,7.789178500504779,9.900311599095838,16.44661841831468,15.488429802303315,29.145204703361994,11.936289706233376,13.435807489495563,11.067402141873643,13.879717254120647,19.426791576286053,9.980365075225002
2013,18.642440014250973,37.23065618717331,15.423560593539404,13.87988326971429,17.320430035992604,23.813446178856303,18.71430617124829,14.083996706183633,15.607350490395005,12.876621147363284,11.394645247479755,17.770200181915296,6.100628565280623,9.672996776020948,15.33627061916805,22.916115614311646,24.393865424310317,8.137237977942739,12.786490332402774,12.237920447601509,21.174992599461753,16.24135827278201,10.807205317083351
2012,18.32414252739873,26.29710851190632,14.456631958696954,21.4817081750511,24.317113538428384,20.818185042729418,18.46850062737959,23.3727476871385,23.627603206284636,21.509081145646114,18.51588329685324,11.293767277489957,15.283399188125852,11.38999396595104,17.26229104262036,16.345695233824085,20.618362500650512,7.80888724305181,9.157078447575586,15.615986479821885,12.277757439228088,12.696562952419459,12.733410529074312
2011,19.837192126135964,48.570942987258455,18.745676428834447,10.951637697430089,25.176755384031523,12.909601596338458,10.821046646128332,22.076933213362015,20.8178699337619,13.69535067124233,11.005025974872988,9.496321261579547,7.033883025546111,11.15917408961885,18.850655386011987,16.175392959726217,19.375174460010633,7.2725352480634236,10.6626783356673,11.620382655434785,14.147119483788783,21.25562734060922,4.767868120364333
2010,20.89492851734981,35.10710235705202,17.311088956362187,21.91266591819768,22.256473135524576,20.32013375002008,12.772487864187093,22.067603430143915,29.09962237026719,24.525546426115852,19.23689908078925,11.84184217928643,15.895351077072018,13.631584933564307,18.96228500506136,16.393129059501458,25.9124625393782,10.884515118654186,11.403670183495343,9.880666566907859,12.91805665969805,15.837767172863312,11.231074947537016
2009,22.336105202088568,34.453470164856675,21.35710244585557,23.94416257650953,27.489421631502847,18.842559084961806,14.023560040095159,27.020072347929915,35.59445014860522,24.35629169380546,15.002244431054022,14.779106483039248,22.24675911855379,14.278723638799203,22.13432669685783,17.007151124436106,22.614322643135612,9.8467056400368,13.834846389354622,16.721637156803265,17.57918885308996,19.699150841231713,11.993821953692379
2008,22.051605191349193,32.189651585467736,17.22356110516438,20.746188912431805,22.632346332772336,25.622287660781478,11.901506400040311,24.05943334076823,32.85846359590322,26.08321307052586,17.407278479768067,15.42959023553992,21.690200001249192,16.84250186326324,20.020467342226922,19.77019598070696,24.327635388752142,8.80591581811849,14.49722899420813,13.197114004496994,16.447178031759496,21.417822901191307,8.107704443772283
2007,24.524210112310442,31.853550613666584,19.859578923908728,21.63997426269136,29.84855256146414,25.76420033739631,20.45780091601246,30.357305015034445,42.91615634386402,27.604394091147018,22.157664913376575,23.410454751695806,22.756055758045754,20.00294413843118,20.245055461252,26.201270359643612,23.43384060018097,15.699510674745753,13.052042849476098,16.953560625647782,23.334681065616845,20.823441197263246,15.316322555977186
